	locality	SVL	HL	HW	AGL	ED	TD	END	IND	UAL	FAL	HAL	TGL	TL	TAL	FL				
MNRJ13605	nordestinus	38.1	7.7	12.7	18.9	4.1	2.0	2.5	3.8	7.8	9.2	8.9	15.6	15.7	10.7	12.1				
MNRJ13606	nordestinus	35.2	7.2	10.8	15.9	3.9	1.8	2.5	3.5	7.4	7.5	9.3	15.2	14.7	9.9	11.3				
MNRJ13608	nordestinus	35.1	7.2	10.8	17.5	3.9	1.5	2.4	3.4	7.4	7.6	9.4	13.7	13.6	9.1	11.5				
MNRJ13609	nordestinus	36.8	8.2	10.8	17.3	3.9	1.6	2.6	3.5	7.2	8.3	9.0	13.9	14.0	9.4	11.4				
MNRJ13610	nordestinus	35.9	7.6	11.1	16.5	4.2	1.8	2.2	3.4	7.1	7.8	9.4	15.2	14.4	9.1	11.7				
MNRJ13611	nordestinus	37.5	7.8	11.5	17.2	4.4	1.7	2.6	3.3	7.5	8.7	8.5	15.8	14.7	10.1	11.9				
MNRJ60097	nordestinus	34.0	7.8	10.3	15.8	3.3	2.0	2.4	3.4	7.0	8.1	8.7	14.6	13.8	9.9	11.0				
MNRJ13598	nordestinus	34.4	6.9	10.2	16.1	3.4	1.6	2.6	3.3	6.6	7.6	8.6	13.6	13.4	9.3	11.2				
MNRJ13599	nordestinus	42.5	9.0	11.4	18.3	4.9	1.7	2.5	4.0	6.7	7.9	9.2	15.1	14.9	10.7	11.8				
MNRJ13600	nordestinus	35.2	7.0	10.6	14.9	3.7	2.3	2.4	3.4	6.5	7.5	8.7	14.1	13.8	9.3	11.1				
